y4_hhid,qx_type,interview_status,PID,hhmember,baselinemember,baselinemembercount,individualmover,moverbasehh,id_code,hh_b03,hh_b04,hh_b05a,hh_b05b,hh_b05_2,hh_b05_2_1,hh_b06a,hh_b06b,hh_b06_1,hh_b06_2,hh_b06_4,hh_b06_5b,hh_b07,hh_b08,hh_b09,hh_b10a,hh_b10b,hh_b10_oth,hh_b11,hh_b12,hh_b13,hh_b13_oth,hh_b14,hh_b15a,hh_b15b,hh_b15b_oth,hh_b16a,hh_b16b,hh_b17,hh_b18,hh_b19a,hh_b19b,hh_b20,hh_b21,hh_b22,hh_b22_oth,hh_b23,hh_b24,hh_b24_1,hh_b24_1_oth,hh_b24_2,hh_b25,hh_b26a,hh_b26b,hh_b26c,hh_b26d,hh_b26e,hh_b26f,hh_b26g,hh_b26h,hh_b27,hh_b28,hhsize
0017-001,1,1,2903,1,1,6,0,.,3,1,3,15,,,,5,2003,3,1,2,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,3,6,,,,,,,,,,,,,,,6
0017-001,1,1,2904,1,1,6,0,.,4,2,3,14,,,,12,2004,4,1,2,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,3,6,,,,,,,,,,,,,,,6
0017-001,1,1,2905,1,1,6,0,.,5,1,3,11,,2,,9,2008,5,1,2,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,6
0017-001,1,1,3001600106,1,1,6,0,.,6,1,3,4,9,2,,9,2014,6,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,6
0018-001,1,1,3101,1,1,6,0,.,1,1,1,44,,,,6,1974,1,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,98,,6,1,13,,3,1,1,,1,1,2,1996,,,,,,,,,7
0018-001,1,1,3102,1,1,6,0,.,2,2,2,40,,,,4,1978,2,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,98,,20,1,,,3,1,1,,1,1,1,1996,,,,,,,,,7
0018-001,1,1,3104,1,1,6,0,.,4,1,3,19,,,,10,1999,4,1,2,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,3,6,,,,,,,,,,,,,,,7
0018-001,1,1,3105,1,1,6,0,.,5,1,3,14,,,,3,2005,5,1,2,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,3,6,,,,,,,,,,,,,,,7
0018-001,1,1,3106,1,1,6,0,.,6,1,3,9,,2,,10,2009,6,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,7
0018-001,1,1,3100107,1,1,6,0,.,7,2,3,6,,2,,2,2013,7,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,7
0018-001,1,1,4001800108,1,0,6,0,.,8,1,3,2,0,1,1,5,2017,99,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,7
0019-001,2,2,6601,1,1,3,0,.,1,2,1,61,,,,5,1958,1,1,2,,1,7,1,,,,1,,,,,,,,98,,50,1,97,,,1,15,CHINYIKA,3,5,,,,,,,,,,,,,,,4
0019-001,2,2,6600104,1,1,3,0,.,2,1,3,24,,,,3,1995,4,1,2,,0,7,1,,,,1,,,,,,,,98,,20,2,97,,,1,,,3,6,,,,,,,,,,,,,,,4
0019-001,2,2,3001800105,1,1,3,0,.,3,1,4,11,,2,,3,2008,5,1,2,,0,7,1,,,,1,,,,,,,,97,,,1,97,,,1,,,,,,,,,,,,,,,,,,,4
0019-001,2,2,4001900104,1,0,3,0,.,4,2,4,9,,2,,5,2010,99,1,,,0,7,1,,,,1,,,,,,,,97,,,1,97,,,1,,,,,,,,,,,,,,,,,,,4
0020-002,2,2,6602,1,1,4,0,.,1,1,1,32,,,,9,1986,2,1,2,,0,7,3,209,,,2,10,1,,3,209,,,98,,9,1,97,,,1,15,CHINYIKA,3,1,1,,2,1,2,2010,,,,,,,,,4
0020-002,2,2,3001800202,1,1,4,0,.,2,2,2,21,,,,7,1998,5,1,2,,0,7,7,,515,,2,9,4,,7,,515,,98,,3,1,98,,12,1,,,3,1,1,,3,1,1,2010,,,,,,,,,4
0020-002,2,2,3001800203,1,1,4,0,.,3,1,3,7,,2,,7,2011,3,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,4
0020-002,2,2,3001800204,1,1,4,0,.,4,2,3,5,0,2,,6,2014,4,1,,,0,7,1,,,,1,,,,,,,,1,1,,1,1,2,,1,,,,,,,,,,,,,,,,,,,4
0021-003,2,2,3001800301,1,1,3,0,.,1,1,1,24,,,,4,1995,5,1,1,1,0,7,1,,,,1,,,,,,,,97,,,6,97,,,1,4,,3,1,1,,1,1,2,2015,,,,,,,,,3
0021-003,2,2,6603,1,1,3,0,.,2,2,2,20,,,,5,1999,3,1,2,,0,7,1,,,,1,,,,,,,,98,,12,1,97,,,1,,,3,1,1,,1,1,1,2015,,,,,,,,,3
0021-003,2,2,3001800303,1,1,3,0,.,3,2,3,2,9,1,1,9,2016,4,1,,,1,0,1,,,,1,,,,,,,,1,1,,3,1,2,,1,,,,,,,,,,,,,,,,,,,3
0022-001,2,2,6801,1,1,6,0,.,1,1,1,47,,,,2,1972,1,1,2,,1,7,7,,515,,2,34,1,,7,,515,,98,,23,1,97,,,1,15,CHINYIKA,3,1,1,,1,1,2,1993,,,,,,,,,10
0022-001,2,2,6802,1,1,6,0,.,2,2,3,46,,,,2,1973,2,1,1,2,0,7,1,,,,1,,,,,,,,98,,32,3,97,,,1,,,3,1,1,,1,1,1,1993,,,,,,,,,10
